Розділ,№,Де відкрити,Що зробити,Що маєш побачити,Вийшло?,Якщо ні — коротко що сталось
24. Написати помічнику — записати їжу,408,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«снек: протеїновий батончик»",Перекуси,,
24. Написати помічнику — записати їжу,409,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«яйця, тост і авокадо на сніданок»",Кілька карток або один комбо-запис. Нотувати як модель зробила. Головна сходиться з сумою в чаті,,
24. Написати помічнику — записати їжу,410,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«жменя мигдалю»","Лог з розумною порцією, не 0 ккал",,
24. Написати помічнику — записати їжу,411,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«бігмак і кола»","Лог, ккал явно ресторанного порядку (не 50)",,
24. Написати помічнику — записати їжу,412,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«зїла омлєт з сиром»",Все одно розпізнав і залогував,,
24. Написати помічнику — записати їжу,413,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«grilled salmon 150g for dinner»
(Система українська мова телефону, фраза)",Лог у Вечеря,,
24. Написати помічнику — записати їжу,414,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«сирники зі сметаною»
(Система англійська мова телефону, фраза)","Лог, назва читабельна",,
24. Написати помічнику — записати їжу,415,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«з'їв повітря»",Немає фейкового запису 500 ккал або модель відмовила текстом без картки,,
24. Написати помічнику — записати їжу,416,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«який сьогодні курс долара?»","Текстова відповідь, немає картки їжі/води",,
24. Написати помічнику — записати їжу,417,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«запиши що я з'їв»","Уточнює питанням, не створює порожній рядок",,
24. Написати помічнику — записати їжу,418,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«з'їв яблуко»",Два записи (або модель питає). Нотувати. Кільце = сумі,,
24. Написати помічнику — записати їжу,419,"Нижня кнопка «Bity AI», поле внизу чату",рядок 402 потім «скасувати запис» на картці на картці.,"Рядок зник з Головна, кільце відкотилось, статус undone",,
24. Написати помічнику — записати їжу,420,"Нижня кнопка «Bity AI», поле внизу чату",рядок 409 два логи потім «скасувати запис» на картці лише на другому.,Перший лишився,,
24. Написати помічнику — воду,421,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«додай склянку води»","Вікно з повідомленням з N мл (часто 150–250). «Підтвердити» потім Головна +N мл, очки нагород +5",,
24. Написати помічнику — воду,422,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«запиши 500 мл води»","Вікно з повідомленням 500. «Підтвердити» потім лічильник +500, не +1 склянка 150",,
24. Написати помічнику — воду,423,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«випив 2 склянки води»",Вікно з повідомленням з ~2× обʼємом або два підтвердження. Нотувати N,,
24. Написати помічнику — воду,424,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«випив 1 літр води»",Вікно з повідомленням ~1000 мл,,
24. Написати помічнику — воду,425,"Нижня кнопка «Bity AI», поле внизу чату",рядок 422 потім «Скасувати».,"Вода на Головній не змінилась, в чаті system cancelled",,
24. Написати помічнику — воду,426,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«запиши 250 мл води»
(Знову  потім «Підтвердити»)",Цього разу додалось,,
24. Написати помічнику — воду,427,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«з'їв яблуко і випив 200 мл води»",Картка їжі і вікно з повідомленням води. Підтвердити воду окремо,,
24. Написати помічнику — воду,428,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«запиши 500 мл»
(Склянка Головна = 150. Чат  потім «Підтвердити»)","Лічильник +500. Візуал 8 склянок заповнюється пропорційно до денної цілі, не «+1 пляшка»",,
24. Написати помічнику — воду,429,"Нижня кнопка «Bity AI», поле внизу чату",рядок 422 «Підтвердити» потім на Головній −.,"Зникає останній запис (усі 500 мл), не 150",,
24. Написати помічнику — замінити страву,430,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«Food Swaps»
(Натисни «Заміни їжі» / Заміни їжі)","У чат пішла назва підказки, прийшли заміна страви-картки або текст з ідеями",,
24. Написати помічнику — замінити страву,431,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«заміни курку на індичку»","Картка заміна страви курка потім індичка, savings ккал. Щоденник ще не змінений",,
24. Написати помічнику — замінити страву,432,"Нижня кнопка «Bity AI», поле внизу чату",рядок 431 потім «Застосувати».,Картка стає карткою «записано в щоденник». Обід оновлений (замінити) або новий рядок у Перекуси (якщо без ціль). Нотувати куди,,
24. Написати помічнику — замінити страву,433,"Нижня кнопка «Bity AI», поле внизу чату",рядок 431 потім «ще варіанти».,"У чат іде Більше варіантів / Більше варіантів, нові картки",,
24. Написати помічнику — замінити страву,434,"Нижня кнопка «Bity AI», поле внизу чату","рядок 431, не тиснути «Застосувати», відкрий Головна.",Оригінальна курка на місці,,
24. Написати помічнику — замінити страву,435,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«це була не курка, а індичка, виправ»","Replace: курка зникла, індичка є, не два рядки",,
24. Написати помічнику — замінити страву,436,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«заміни піцу на салат»",Картка все одно може бути; «Застосувати» додасть альтернативу в Перекуси. Нотувати,,
24. Написати помічнику — що приготувати,437,"Нижня кнопка «Bity AI», поле внизу чату",Натисни «Ідеї страв».,Recipe-картки з ккал/макросами,,
24. Написати помічнику — що приготувати,438,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«що приготувати на вечерю, щоб влізти в ціль?»
(Спочатку зʼїсти ~80% ккал)",Варіанти з ккал ≤ залишок калорій (орієнтовно),,
24. Написати помічнику — що приготувати,439,"Нижня кнопка «Bity AI», поле внизу чату",рядок 437 потім «Записати» на одній картці.,"Запис у вказаний mealType картки, Головна оновився",,
24. Написати помічнику — що приготувати,440,"Нижня кнопка «Bity AI», поле внизу чату","Відкрий картки, нічого не тиснути.",Щоденник без змін,,
24. Написати помічнику — що приготувати,441,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«дай рецепт вечері близько 500 ккал з високим білком»",Картки або текст рецепта з Б/Ж/В,,
24. Написати помічнику — що приготувати,442,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«вечеря за 15 хвилин, без духовки»",Ідеї з коротким cook time,,
24. Написати помічнику — питання про калорії,443,"Нижня кнопка «Bity AI», поле внизу чату",Натисни «Питання про харчування».,"Текстова відповідь про склад (білки, жири, вуглеводи), не обовʼязково картка",,
24. Написати помічнику — питання про калорії,444,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«скільки калорій мені ще можна сьогодні?»",Число близьке до залишок калорій на Головній (± невелика похибка моделі),,
24. Написати помічнику — питання про калорії,445,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«чи я закрив білок?»",Відповідь спирається на зʼїдений protein проти ціль,,
24. Написати помічнику — питання про калорії,446,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«як мій прогрес сьогодні?»","Каже що день порожній / 0, не вигадує обід",,
24. Написати помічнику — питання про калорії,447,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«скільки води ще треба?»
(1 склянка 150, ціль ~2 л)",Залишок близький до цілі − 150,,
24. Написати помічнику — питання про калорії,448,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«дай одну коротку пораду на сьогодні»","Короткий текст, без обовʼязкового запису",,
24. Написати помічнику — кілька повідомлень підряд,449,"Нижня кнопка «Bity AI», поле внизу чату","Напиши по черзі (після кожної — надішли і дочекайся відповіді):
1) «на обід гречка з куркою»
2) «запиши той самий обід ще раз»
(1)  (підтвердити лог) 2))","Другий лог схожий на перший, не «не зрозумів»",,
24. Написати помічнику — кілька повідомлень підряд,450,"Нижня кнопка «Bity AI», поле внизу чату","Напиши по черзі (після кожної — надішли і дочекайся відповіді):
1) «з'їв пасту»
2) «ні, це була маленька порція, грамм 150»","Або замінити, або новий лог зі зменшеними ккал. Головна не має двох великих паст без причини",,
24. Написати помічнику — кілька повідомлень підряд,451,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«а скільки там було білка?»","Відповідь про цю вівсянку, не загальний Wikipedia",,
24. Написати помічнику — кілька повідомлень підряд,452,"Нижня кнопка «Bity AI», поле внизу чату","Напиши по черзі (після кожної — надішли і дочекайся відповіді):
1) «скільки залишилось ккал»
2) «запропонуй обід»
3) «додай 300 мл води»
(1) сніданок 2)  3)  4) «Записати» картки 5)  «Підтвердити»)","Головна: сніданок+обід, вода +300, залишок калорій зменшився двічі",,
24. Написати помічнику — кілька повідомлень підряд,453,"Нижня кнопка «Bity AI», поле внизу чату","Напиши по черзі (після кожної — надішли і дочекайся відповіді):
1) «я алергік на арахіс, запам'ятай»
2) «що перекусити»",Не пропонує арахисове масло / Snickers з peanut. Preference Saved,,
24. Написати помічнику — кілька повідомлень підряд,454,"Нижня кнопка «Bity AI», поле внизу чату","Напиши по черзі (після кожної — надішли і дочекайся відповіді):
1) «я вегетаріанець»
2) «вечеря»
(1)  2) підказки страви або)",Без мʼяса/риби в картках,,
24. Написати помічнику — кілька повідомлень підряд,455,"Нижня кнопка «Bity AI», поле внизу чату","Напиши по черзі (після кожної — надішли і дочекайся відповіді):
1) «не люблю броколі»
2) «салат на вечерю»",Без броколі,,
24. Написати помічнику — кілька повідомлень підряд,456,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«ще»
(12 коротких питань підряд ())","Скрол живий, надіслати не блокується, після 20 історія підрізається — найстаріше може «забутись»",,
24. Написати помічнику — кілька повідомлень підряд,457,"Нижня кнопка «Bity AI», поле внизу чату",рядок 452 потім повністю закрий додаток (згорнути картку вгору) потім вкладку Bity AI.,"Останні репліки на місці (не карти, а текст user/assistant)",,
24. Написати помічнику — кілька повідомлень підряд,458,"Нижня кнопка «Bity AI», поле внизу чату",Після рядок 452 історія потім «Очистити все».,Екран «Вітаємо в Bity» знову. «Той самий обід» більше не згадує рядок 452,,
24. Написати помічнику — фото і голос,459,"Нижня кнопка «Bity AI», поле внизу чату","Кнопка скріпки біля поля галерея, без тексту.","Користувач хмарка повідомлення «Фото» / Фото, аналіз, бажано картка «записано в щоденник»",,
24. Написати помічнику — фото і голос,460,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«це обід, порція велика»
(галерея, потім дописати  — якщо екран шле фото одразу: надіслати фото, наступним повідомленням уточнити)","Або одразу лог Обід, або замінити після другої репліки",,
24. Написати помічнику — фото і голос,461,"Нижня кнопка «Bity AI», поле внизу чату",Селфі / стіл.,"Текст «не розпізнав» / прохання перезняти, без рандомного запису",,
24. Написати помічнику — фото і голос,462,"Нижня кнопка «Bity AI», поле внизу чату",Кнопка скріпки біля поля потім Камера потім страва.,Як рядок 459,,
24. Написати помічнику — фото і голос,463,"Нижня кнопка «Bity AI», поле внизу чату",Кнопка скріпки біля поля потім Файли потім jpg.,Як рядок 459,,
24. Написати помічнику — фото і голос,464,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«на сніданок омлет»
(Наговорити , перевірити поле, «Надіслати»)",Лог Сніданок,,
24. Написати помічнику — фото і голос,465,"Нижня кнопка «Bity AI», поле внизу чату",Наговорити і стерти.,Нічого не пішло,,
24. Написати помічнику — фото і голос,466,"Нижня кнопка «Bity AI», поле внизу чату",Тицьнути «Надіслати» двічі на одному тексті.,"Один запит (поки йде відповідь блокує), не два логи",,
24. Написати помічнику — дивні повідомлення,467,"Нижня кнопка «Bity AI», поле внизу чату",Режим польоту (без інтернету) потім будь-яка фраза.,"Система error, Помилка, поле знову доступне",,
24. Написати помічнику — дивні повідомлення,468,"Нижня кнопка «Bity AI», поле внизу чату",Вставити 2–3 тис. символів меню.,Не додаток вилетів; відповідь або помилка,,
24. Написати помічнику — дивні повідомлення,469,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«🍕🍔»","Або лог піци/бургера, або уточнення",,
24. Написати помічнику — дивні повідомлення,470,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«сьогодні lunch was sushi»
(сьогодні обід was sushi)",Лог Обід,,
24. Написати помічнику — дивні повідомлення,471,"Нижня кнопка «Bity AI», поле внизу чату","Напиши в поле рівно так і надішли:
«видали це яблуко»","Або замінити/видалити ефект на Головній, або каже відкрити редагувати. Нотувати. «скасувати запис» на картці картки має працювати завжди",,
25. Склянки води (детально),472,"Головна, блок води","Новий юзер, +.","+150 мл, 1 слот частково/повністю залежно від цілі",,
25. Склянки води (детально),473,"Головна, блок води",+ × 5 при 150.,"+750 мл, 5 записів, − знімає по 150",,
25. Склянки води (детально),474,"Головна, блок води",Олівець потім 330 потім «Зберегти» потім +.,"Новий запис 330, старі 150 не перераховуються",,
25. Склянки води (детально),475,"Головна, блок води","По черзі 150, 200, 250, 330, після кожного «Зберегти» зробити + і −.",Кожен + = обраний обʼєм,,
25. Склянки води (детально),476,"Головна, блок води",Ввести 180 потім «Зберегти» потім + × 2.,"+360, два записи по 180",,
25. Склянки води (детально),477,"Головна, блок води",Ввести 1 потім «Зберегти» потім +.,"Дозволяє (> 0), слот майже порожній",,
25. Склянки води (детально),478,"Головна, блок води",Ввести 1000 потім «Зберегти» потім +.,"+1000 за один натисни, кілька слотів заповнюються одразу",,
25. Склянки води (детально),479,"Головна, блок води",Подивись ціль (наприклад 2450). Склянка 250. Плюсати до цілі.,"Лічильник = ціль, слоти повні",,
25. Склянки води (детально),480,"Головна, блок води",Після рядок 479 ще +.,"Лічильник > цілі, додаток не вилетів, слоти max",,
25. Склянки води (детально),481,"Головна, блок води",4 склянки потім − × 2.,"Лишилось 2, останні зникли",,
25. Склянки води (детально),482,"Головна, блок води",− до нуля.,"0, слоти порожні, ще − — нічого не змінюється — і так має бути",,
25. Склянки води (детально),483,"Головна, блок води","150, змінити на 330, +, −.","− знімає 330 (останній), лишається 150",,
25. Склянки води (детально),484,"Головна, блок води","Чат 500 «Підтвердити», потім На Головній натисни +.","Сума 650. − спочатку знімає 150, наступний − — 500",,
25. Склянки води (детально),485,"Головна, блок води","Зміни чіп, свайп вниз.",Обʼєм не зберігся,,
25. Склянки води (детально),486,"Головна, блок води",Фокус у полі.,"Цифри, select-all, суфікс ml після blur",,
25. Склянки води (детально),487,"Головна, блок води",Зроби так: темна тема + українська мова телефону на вікні знизу.,"Чіпи «150 мл» тощо, без ключів",,
25. Склянки води (детально),488,"Головна, блок води",250 «Зберегти» потім повністю закрий додаток потім +.,Додалось 250,,
25. Склянки води (детально),489,"Головна, блок води",Повільно плюсати від 0 до цілі.,"Слоти наповнюються зліва направо, частковий останній",,
26. Різні слова в пошуку,490,Пошук продукту,"Напиши в поле рівно так і надішли:
«chicken breast»","Є результати, натисни потім Перекуси",,
26. Різні слова в пошуку,491,Пошук продукту,"Напиши в поле рівно так і надішли:
«куряча грудка»",Результати українською/локаллю,,
26. Різні слова в пошуку,492,Пошук продукту,"Напиши по черзі (після кожної — надішли і дочекайся відповіді):
1) «Coca-Cola»
2) «Coca Cola»","Напій, ккал на порцію",,
26. Різні слова в пошуку,493,Пошук продукту,"Напиши в поле рівно так і надішли:
«борщ»",Результат або AI-підказка зверху,,
26. Різні слова в пошуку,494,Пошук продукту,"Напиши в поле рівно так і надішли:
«egg»",Не порожньо,,
26. Різні слова в пошуку,495,Пошук продукту,"Напиши в поле рівно так і надішли:
«рис 100г»",Пошук живий (може ігнорувати «100г»),,
26. Різні слова в пошуку,496,Пошук продукту,"Напиши в поле рівно так і надішли:
«greek yogurt»","Йогурт, не випадкове мʼясо",,
26. Різні слова в пошуку,497,Пошук продукту,"Напиши в поле рівно так і надішли:
«qwertyfoodzzz»",0 результатів,,
26. Різні слова в пошуку,498,Пошук продукту,Порівняти 2 AI suggested і рядок нижче.,"Обидва логують, різні продукти",,
26. Різні слова в пошуку,499,Пошук продукту,"Напиши в поле рівно так і надішли:
«банан»
(Олівець Сніданок потім  потім  потім натисни)","Банан у Сніданок, не Перекуси",,
26. Різні пачки зі штрихкодом,500,Камера штрихкоду,Реальна пляшка/пачка.,Картка продукту з калоріями з назвою бренду,,
26. Різні пачки зі штрихкодом,501,Камера штрихкоду,Інший штрихкод одразу після «Назад».,"Новий продукт, не кеш першого",,
26. Різні пачки зі штрихкодом,502,Камера штрихкоду,Кола проти йогурт.,Мл проти г у порції на екран «додати в щоденник»,,
26. Різні пачки зі штрихкодом,503,Камера штрихкоду,"Сканувати, запамʼятати цифри, Enter manually.",Той самий продукт,,
26. Різні пачки зі штрихкодом,504,Камера штрихкоду,Після штрихкоду прийом кнопка прийому Сніданок потім «Додати».,На Головній у Сніданок,,
26. Різні фото страв,505,Камера фото страви,Омлет / каша.,"1 страва, ккал > 0",,
26. Різні фото страв,506,Камера фото страви,Мʼясо + гарнір + овочі.,"Або 1 комбо, або кілька інгредієнтів. Нотувати",,
26. Різні фото страв,507,Камера фото страви,Йогурт крупним планом.,Назва схожа на упаковку,,
26. Різні фото страв,508,Камера фото страви,Кава / сік.,Не плутає з супом безглуздо; є мл або ккал,,
26. Різні фото страв,509,Камера фото страви,Темне фото.,"Або низька впевненість / помилка, не додаток вилетів",,
26. Різні фото страв,510,Камера фото страви,З 2 метрів.,"Помилка або «не впевнений», без фантастичного запису",,
26. Різні фото страв,511,Камера фото страви,Фото вчорашнього обіду.,"Аналіз ок, дата запису — сьогодні (поки не змінити в екран «додати в щоденник»)",,
26. Різні фрази голосом,512,Екран голосу,"Напиши в поле рівно так і надішли:
«яблуко»",Текст з голосу потім «Аналізувати» потім продукт,,
26. Різні фрази голосом,513,Екран голосу,"Напиши в поле рівно так і надішли:
«на обід з'їв пасту карбонара»","«Аналізувати» розуміє страву; далі екран «додати в щоденник», прийом можна поставити Обід",,
26. Різні фрази голосом,514,Екран голосу,"Напиши в поле рівно так і надішли:
«яйце, огірок і хліб»",Кілька інгредієнтів у результаті або комбо,,
26. Різні фрази голосом,515,Екран голосу,"Напиши в поле рівно так і надішли:
«двісті грам курки»",~200 г,,
26. Різні фрази голосом,516,Екран голосу,"Система українська мова телефону, говорити українською.",Текст з голосу українською,,
26. Різні фрази голосом,517,Екран голосу,Аналізувати в галасливій кімнаті.,"Або норм, або помилка — не додаток вилетів",,
26. Різні фрази голосом,518,Екран голосу,"Наговорити «суп», руками змінити на «борщ» потім «Аналізувати».",Результат борщ,,
26. Кілька способів за один прийом,519,Головна і кнопка +,Два вікно «Записати прийом» (чотири кнопки) підряд.,"Два рядки Перекуси, сума ккал = сумі деталі",,
26. Кілька способів за один прийом,520,Головна і кнопка +,"Спочатку фото в Перекуси, потім голос.",Два рядки,,
26. Кілька способів за один прийом,521,Головна і кнопка +,"рядок 402 сніданок, потім вікно «Записати прийом» (чотири кнопки) яблуко.","Сніданок з чату, яблуко в Перекуси",,
26. Кілька способів за один прийом,522,Головна і кнопка +,Сніданок порожній потім олівець потім пошук яйце потім ще пошук тост.,Обидва в Сніданок,,
26. Кілька способів за один прийом,523,Головна і кнопка +,Фото потім екран «додати в щоденник» потім Вечеря потім «Додати».,"Вечеря, не Перекуси",,
26. Кілька способів за один прийом,524,Головна і кнопка +,Будь-який метод потім Змінити дата вчора.,Сьогоднішні кільця без цього запису,,
27. Олівець на прийомі — написати помічнику,525,"Головна → олівець біля Сніданку, поле внизу екрана","Напиши в поле рівно так і надішли:
«додай рис»","Новий рядок рис у цьому прийомі, Головна ккал зросли",,
27. Олівець на прийомі — написати помічнику,526,"Головна → олівець біля Сніданку, поле внизу екрана","Напиши в поле рівно так і надішли:
«додай 150 г рису»",Рис ~150 г,,
27. Олівець на прийомі — написати помічнику,527,"Головна → олівець біля Сніданку, поле внизу екрана","Напиши в поле рівно так і надішли:
«додай каву 200 мл»",Рядок з мл,,
27. Олівець на прийомі — написати помічнику,528,"Головна → олівець біля Сніданку, поле внизу екрана","Напиши по черзі (після кожної — надішли і дочекайся відповіді):
1) «видали яйця»
2) «прибери яйця»",Рядка яєць немає (якщо модель зробила замінити порожнім — нотувати; інакше видалити вручну має працювати завжди),,
27. Олівець на прийомі — написати помічнику,529,"Головна → олівець біля Сніданку, поле внизу екрана","Напиши в поле рівно так і надішли:
«заміни тост на цільнозерновий хліб»","Тост зник, хліб є, авокадо на місці",,
27. Олівець на прийомі — написати помічнику,530,"Головна → олівець біля Сніданку, поле внизу екрана","Напиши в поле рівно так і надішли:
«зроби авокадо 50 г»","Ккал авокадо зменшились, інші рядки ті самі",,
27. Олівець на прийомі — написати помічнику,531,"Головна → олівець біля Сніданку, поле внизу екрана","Напиши в поле рівно так і надішли:
«яйця на 300 г»",Ккал яєць зросли,,
27. Олівець на прийомі — написати помічнику,532,"Головна → олівець біля Сніданку, поле внизу екрана",рядок 529 під час надіслати.,"Анімація на рядку спливаючого напису, не на всіх, якщо в промпті є «тост» (≥4 літери)",,
27. Олівець на прийомі — написати помічнику,533,"Головна → олівець біля Сніданку, поле внизу екрана","Напиши в поле рівно так і надішли:
«зроби все легше»",Скан по всіх рядках,,
27. Олівець на прийомі — написати помічнику,534,"Головна → олівець біля Сніданку, поле внизу екрана","Напиши в поле рівно так і надішли:
«додай салат»
(Вечеря порожній потім)",Картка «їжу записано» з’являється з салатом,,
27. Олівець на прийомі — написати помічнику,535,"Головна → олівець біля Сніданку, поле внизу екрана","Напиши в поле рівно так і надішли:
«add chicken 120g»",Рядок курки,,
27. Олівець на прийомі — написати помічнику,536,"Головна → олівець біля Сніданку, поле внизу екрана","Напиши в поле рівно так і надішли:
«додай огірок і помідор»",1 або 2 рядки. Нотувати,,
27. Олівець на прийомі — написати помічнику,537,"Головна → олівець біля Сніданку, поле внизу екрана",Плюс потім галерея потім тарілка.,Новий/оновлений рядок після аналізу,,
27. Олівець на прийомі — написати помічнику,538,"Головна → олівець біля Сніданку, поле внизу екрана","Напиши в поле рівно так і надішли:
«додай банан»
(Наговорити  потім «Надіслати» якщо треба)",Банан у списку,,
27. Олівець на прийомі — написати помічнику,539,"Головна → олівець біля Сніданку, поле внизу екрана","Напиши в поле рівно так і надішли:
«додай 300 мл води»",Вода не логується звідси (tool ігнор). Щоденник води без змін,,
27. Олівець на прийомі — написати помічнику,540,"Головна → олівець біля Сніданку, поле внизу екрана","Напиши в поле рівно так і надішли:
«що ще додати до сніданку?»",Якщо прийшли ідеї — перша вже в списку без окремого «Записати». Нотувати сюрприз,,
27. Олівець на прийомі — написати помічнику,541,"Головна → олівець біля Сніданку, поле внизу екрана","Напиши в поле рівно так і надішли:
«додай рис»",Не два рис без потреби (поки йде відповідь),,
27. Олівець на прийомі — написати помічнику,542,"Головна → олівець біля Сніданку, поле внизу екрана",Режим польоту (без інтернету) потім «Надіслати».,"Не додаток вилетів, список як був, скан зникає",,
27. Олівець на прийомі — написати помічнику,543,"Головна → олівець біля Сніданку, поле внизу екрана",«Надіслати» потім одразу свайп вікна знизу.,Додаток не вилетів; після повернення дані консистентні,,
27. Олівець на прийомі — написати помічнику,544,"Головна → олівець біля Сніданку, поле внизу екрана","Напиши в поле рівно так і надішли:
«і ще яйце»","Друга команда в тому ж прийомі, історія жива до 20",,
27. Олівець на прийомі — написати помічнику,545,"Головна → олівець біля Сніданку, поле внизу екрана","Натисни поле порції рядка 1, змінити, натисни рядок 2.","Обидва комітяться, ккал Головна = сумі",,
27. Олівець на прийомі — написати помічнику,546,"Головна → олівець біля Сніданку, поле внизу екрана",Напій мл і їжа г в одному прийомі.,Парсер не плутає одиниці,,
27. Олівець на прийомі — написати помічнику,547,"Головна → олівець біля Сніданку, поле внизу екрана","Напиши в поле рівно так і надішли:
«abc»
(У поле випадкові літери / порожньо)",Відкат,,
27. Олівець на прийомі — написати помічнику,548,"Головна → олівець біля Сніданку, поле внизу екрана",Ввести 0.,"Або відкат, або 0 ккал — нотувати, не дивна помилка замість числа",,
27. Олівець на прийомі — написати помічнику,549,"Головна → олівець біля Сніданку, поле внизу екрана","Напиши в поле рівно так і надішли:
«9999»","Не додаток вилетів, ккал великі, кільце більше за денну норму",,
27. Олівець на прийомі — написати помічнику,550,"Головна → олівець біля Сніданку, поле внизу екрана",Фокус AI-поля при відкритій порції.,"Текст внизу над клавіатурою, «Зберегти» доступний скролом",,
27. Олівець на прийомі — написати помічнику,551,"Головна → олівець біля Сніданку, поле внизу екрана",«Надіслати» і одразу Видалити рядка.,Не додаток вилетів,,
27. Олівець на прийомі — написати помічнику,552,"Головна → олівець біля Сніданку, поле внизу екрана",«Надіслати» і одразу +.,"Стек живий або блокується, не додаток вилетів",,
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",553,"Той екран, де зараз іде завантаження / запис / аналіз",Зйомка потім одразу Головна.,"Після повернення: результат або помилка, камера жива, немає чорного екрана",,
"28. Дзвінок, згорнути, вимкнути інтернет посеред дії",554,"Той екран, де зараз іде завантаження / запис / аналіз",Скан потім Головна.,Можна сканувати далі,,
