Секція,ID,Кейс,Кроки,Очікувано,Статус,Нотатки
AA. Edit meal AI — фрази в композері страви,AA08,Scan overlay на назві,AA05 під час send,"Анімація на рядку тоста, не на всіх, якщо в промпті є «тост» (≥4 літери)",,
AA. Edit meal AI — фрази в композері страви,AA09,Overlay на всіх,`зроби все легше` (без назв),Скан по всіх рядках,,
AA. Edit meal AI — фрази в композері страви,AA10,Порожній прийом + add,Dinner порожній → `додай салат`,Картка meal з’являється з салатом,,
AA. Edit meal AI — фрази в композері страви,AA11,EN у UK системі,`add chicken 120g`,Рядок курки,,
AA. Edit meal AI — фрази в композері страви,AA12,Два продукти,`додай огірок і помідор`,1 або 2 рядки. Нотувати,,
AA. Edit meal AI — фрази в композері страви,AA13,Фото в Edit meal,Plus → gallery → тарілка,Новий/оновлений рядок після аналізу,,
AA. Edit meal AI — фрази в композері страви,AA14,Mic у Edit meal,Наговорити `додай банан` → Send якщо треба,Банан у списку,,
AA. Edit meal AI — фрази в композері страви,AA15,Вода з Edit meal,`додай 300 мл води`,Вода не логується звідси (tool ігнор). Щоденник води без змін,,
AA. Edit meal AI — фрази в композері страви,AA16,Suggestions автолог,`що ще додати до сніданку?`,Якщо прийшли ідеї — перша вже в списку без окремого Log. Нотувати сюрприз,,
AA. Edit meal AI — фрази в композері страви,AA17,Double Send,Send двічі на `додай рис`,Не два рис без потреби (isSending),,
AA. Edit meal AI — фрази в композері страви,AA18,Offline send,Airplane → Send,"Не краш, список як був, скан зникає",,
AA. Edit meal AI — фрази в композері страви,AA19,Закрити під час send,Send → одразу свайп шита,Немає крашу; після повернення дані консистентні,,
AA. Edit meal AI — фрази в композері страви,AA20,Історія композера,AA01 потім `і ще яйце`,"Друга команда в тому ж прийомі, історія жива до 20",,
AA. Edit meal AI — фрази в композері страви,AA21,Клавіатура порцій,"Тапнути поле порції рядка 1, змінити, тапнути рядок 2","Обидва комітяться, ккал Home = сумі",,
AA. Edit meal AI — фрази в композері страви,AA22,Порція г і мл,Напій мл і їжа г в одному прийомі,Парсер не плутає одиниці,,
AA. Edit meal AI — фрази в композері страви,AA23,Невалідна порція,У поле `abc` / порожньо,Відкат,,
AA. Edit meal AI — фрази в композері страви,AA24,Порція 0,Ввести 0,"Або відкат, або 0 ккал — нотувати, не NaN",,
AA. Edit meal AI — фрази в композері страви,AA25,Дуже велика порція,`9999` г,"Не краш, ккал великі, кільце over-budget",,
AA. Edit meal AI — фрази в композері страви,AA26,Клавіатура + композер,Фокус AI-поля при відкритій порції,"Footer над клавіатурою, Save доступний скролом",,
AA. Edit meal AI — фрази в композері страви,AA27,Delete під час AI,Send і одразу Delete рядка,Не краш,,
AA. Edit meal AI — фрази в композері страви,AA28,`+` search під час AI,Send і одразу `+`,"Стек живий або блокується, не краш",,
AB. Переривання посеред флоу,AB01,Згорнути під час фото-аналізу,Зйомка → одразу Home,"Після повернення: результат або помилка, камера жива, немає чорного екрана",,
AB. Переривання посеред флоу,AB02,Згорнути під час баркод lookup,Скан → Home,Можна сканувати далі,,
AB. Переривання посеред флоу,AB03,Згорнути під час чат send,Send → Home → AI,"Повідомлення з’явилось або Failed, Send знову можна",,
AB. Переривання посеред флоу,AB04,Згорнути Edit meal send,Send → Home,Після олівця список консистентний,,
AB. Переривання посеред флоу,AB05,Вбити апку під час аналізу фото,Identifying → swipe kill,"Рестарт, логу немає, наступна зйомка ок",,
AB. Переривання посеред флоу,AB06,Вбити під час чат відповіді,Send → kill,Після входу історія без «завислого sending»; повтор не дублює сліпо,,
AB. Переривання посеред флоу,AB07,Дзвінок під час voice log,Listening → вхідний дзвінок,Немає крашу; після дзвінка mic можна знову,,
AB. Переривання посеред флоу,AB08,Дзвінок під час камери,Баркод/фото → дзвінок,Сесія камери після повернення restart,,
AB. Переривання посеред флоу,AB09,Control Center під час камери,"Шторка, яскравість, назад",Превʼю на місці,,
AB. Переривання посеред флоу,AB10,Lock під час splash,Залочити на сплеші,"Після unlock онбординг/Home, не завислий сплеш",,
AB. Переривання посеред флоу,AB11,Lock під час listening,Voice listening → lock,"Запис стоп, немає крашу",,
AB. Переривання посеред флоу,AB12,Lock під час чату send,,Після unlock відповідь або fail,,
AB. Переривання посеред флоу,AB13,App switcher 10 апк,"Відкрити багато апк, повернутись на Bity на камері",Камера не «мертва»,,
AB. Переривання посеред флоу,AB14,Siri поверх,Утримувати side button на Home,Після Siri Home клікабельний,,
AB. Переривання посеред флоу,AB15,Повідомлення баннер,Баннер іншої апки на камері,Тап/свайп баннера не вбиває скан,,
AB. Переривання посеред флоу,AB16,Навушники Bluetooth,Voice log і чат mic у AirPods,Транскрипт є,,
AB. Переривання посеред флоу,AB17,Перемикання mic,Навушники → динамік середині запису,Не краш,,
AB. Переривання посеред флоу,AB18,Тихий режим,"Switch Ring/Silent, залогувати баркод","Haptic може бути, звуку камери за політикою iOS",,
AB. Переривання посеред флоу,AB19,Low Power Mode,"Увімкнути, фото-аналіз + чат","Працює, може бути повільніше",,
AB. Переривання посеред флоу,AB20,Слабкий LTE,"Вимкнути Wi‑Fi, погана мережа, search і чат","Лоадер, не вічний freeze; можна Cancel/Back",,
AB. Переривання посеред флоу,AB21,Втратити мережу посередині,Wi‑Fi off під час chat send,"Failed, повтор після on",,
AB. Переривання посеред флоу,AB22,VPN on/off,Чат і баркод lookup,"Або ок, або зрозуміла помилка",,
AB. Переривання посеред флоу,AB23,Ротація на камері,Повернути телефон landscape,Превʼю портретне (код лочить rotation) або не роз’їжджається,,
AB. Переривання посеред флоу,AB24,Ротація на Home,Landscape,Layout не ламає таббар / або лок портрета,,
AB. Переривання посеред флоу,AB25,Ротація на шиті Edit meal,,Шит живий,,
AB. Переривання посеред флоу,AB26,Split iPad,Якщо iPad: Slide Over / Split з Bity,"Адаптив, не чорний",,
AB. Переривання посеред флоу,AB27,Зовнішня клавіатура iPad,Search і чат,Enter = пошук/send або новий рядок — нотувати,,
AB. Переривання посеред флоу,AB28,Диктування клавіатури iOS,Mic на keyboard у search,Текст у полі,,
AB. Переривання посеред флоу,AB29,Paste в search,Вставити `chicken breast`,Пошук після debounce,,
AB. Переривання посеред флоу,AB30,Paste в чат,Довгий абзац меню,Send не краш,,
AB. Переривання посеред флоу,AB31,Copy з чату,Довгий тап на bubble якщо вміє,"Або системне copy, або немає — нотувати",,
AB. Переривання посеред флоу,AB32,Скріншот,"Home, камера, чат",Немає крашу,,
AB. Переривання посеред флоу,AB33,Screen Recording,"Увімкнути запис, пройти Quick Log",Немає крашу (privacy overlay камери ок),,
AB. Переривання посеред флоу,AB34,Час вийшов аналізу,Дуже повільна мережа 30+ с,UI знову клікабельний,,
AB. Переривання посеред флоу,AB35,Подвійний capture,Двічі тап кадр фото,Один аналіз,,
AB. Переривання посеред флоу,AB36,Back під час identifying,Фото identifying → Close,"Pop, наступне відкриття камери чисте",,
AB. Переривання посеред флоу,AB37,Tab switch під час send,Чат Send → таб Home → AI,Немає дубля повідомлення,,
AB. Переривання посеред флоу,AB38,Віджет тап під час логу,Тап віджета поки відкритий баркод,"Апка на передній план, не краш",,
"AC. Медіа: HEIC, Live, PNG, кілька фото, QR",AC01,HEIC з iPhone,Gallery фото-камері AI,Аналіз ок,,
"AC. Медіа: HEIC, Live, PNG, кілька фото, QR",AC02,HEIC у баркод gallery,Фото етикетки з кодом,Lookup ок,,
"AC. Медіа: HEIC, Live, PNG, кілька фото, QR",AC03,HEIC у чат attach,,Photo message + аналіз,,
"AC. Медіа: HEIC, Live, PNG, кілька фото, QR",AC04,HEIC у Edit meal,,Рядок з’являється,,
"AC. Медіа: HEIC, Live, PNG, кілька фото, QR",AC05,HEIC progress photo,Front/side з галереї HEIC,Крок 2 / фініш,,
"AC. Медіа: HEIC, Live, PNG, кілька фото, QR",AC06,Live Photo,Вибрати Live як image,"Береться still, не відео, аналіз ок",,
"AC. Медіа: HEIC, Live, PNG, кілька фото, QR",AC07,PNG зі Files (чат),Attach Files → PNG їжі,Приймає,,
"AC. Медіа: HEIC, Live, PNG, кілька фото, QR",AC08,JPEG зі Files,,Приймає,,
"AC. Медіа: HEIC, Live, PNG, кілька фото, QR",AC09,WEBP / GIF файл,Files не-jpeg якщо вдасться,"Або аналіз, або noImage — не краш",,
"AC. Медіа: HEIC, Live, PNG, кілька фото, QR",AC10,PDF у Files,,Помилка noImage,,
"AC. Медіа: HEIC, Live, PNG, кілька фото, QR",AC11,Відео в picker,Gallery — відео не в images filter,Не обирається,,
"AC. Медіа: HEIC, Live, PNG, кілька фото, QR",AC12,Multi-select,Gallery AI photo,"Можна одне фото, не пачку",,
"AC. Медіа: HEIC, Live, PNG, кілька фото, QR",AC13,Скасувати picker,Відкрити gallery → Cancel,Камера/чат як були,,
"AC. Медіа: HEIC, Live, PNG, кілька фото, QR",AC14,Limited Photos,"iOS Settings → Photos → Selected Photos, дати 0, потім gallery","Picker порожній/обмежений, не краш",,
"AC. Медіа: HEIC, Live, PNG, кілька фото, QR",AC15,Додати доступ до фото,Після Limited дати конкретний альбом,Наступний picker бачить,,
"AC. Медіа: HEIC, Live, PNG, кілька фото, QR",AC16,QR замість EAN,Навести QR (URL/текст),Скан може зчитати QR; lookup продукту ймовірно fail у hint — не краш,,
"AC. Медіа: HEIC, Live, PNG, кілька фото, QR",AC17,EAN-8,Короткий код на пачці,Lookup або invalid,,
"AC. Медіа: HEIC, Live, PNG, кілька фото, QR",AC18,UPC-E,Якщо є,Скан,,
"AC. Медіа: HEIC, Live, PNG, кілька фото, QR",AC19,Порваний/блік код,,"Немає фейкового продукту, можна ще раз",,
"AC. Медіа: HEIC, Live, PNG, кілька фото, QR",AC20,Screenshot етикетки,Gallery скрін штрихкода,Vision знаходить код або помилка,,
"AC. Медіа: HEIC, Live, PNG, кілька фото, QR",AC21,Портретне vs альбомне фото їжі,Обидва в AI photo,Обидва аналізуються,,
"AC. Медіа: HEIC, Live, PNG, кілька фото, QR",AC22,12 MP vs 0.5 MP,Дуже важке і дуже дрібне,Немає memory crash,,
AD. Доступність (людські жести),AD01,VoiceOver Home,"Увімкнути VoiceOver, пройти кільця, `+`, вода, олівець","Усі кнопки озвучені, можна залогувати search",,
AD. Доступність (людські жести),AD02,VoiceOver онбординг,Welcome → Continue,Картки цілі вибираються,,
AD. Доступність (людські жести),AD03,VoiceOver чат,"Поле, Send, чіпи, History",Можна відправити фразу,,
AD. Доступність (людські жести),AD04,VoiceOver камера,Баркод,"Close / flash / manual доступні, не trap",,
AD. Доступність (людські жести),AD05,VoiceOver вимкнути,Після тесту off,UI звичайний,,
AD. Доступність (людські жести),AD06,Reduce Motion,"Accessibility → Reduce Motion on, Welcome GIF, calculating, scan-line, confetti",Апка не зависає; анімації коротші або грають,,
AD. Доступність (людські жести),AD07,Bold Text,,Кнопки не обрізані,,
AD. Доступність (людські жести),AD08,Increase Contrast,,Текст читабельний Light і Dark,,
AD. Доступність (людські жести),AD09,Button Shapes,,Тапи площею ок,,
AD. Доступність (людські жести),AD10,On/Off Labels,,Степпери води зрозумілі,,
AD. Доступність (людські жести),AD11,Dynamic Type AX5,"Найбільший шрифт, Home + Add entry + чат","Скрол, нічого не під tab bar намертво",,
AD. Доступність (людські жести),AD12,Dynamic Type мінімум,Найменший,Читабельно,,
AD. Доступність (людські жести),AD13,Zoom / Larger Text,,Safe area,,
AD. Доступність (людські жести),AD14,Smart Invert / Classic Invert,"Home, камера",Камера не інвертить критично / терпимо,,
AD. Доступність (людські жести),AD15,Differentiate Without Color,Кільця макросів все одно зрозумілі (підписи є),Не лише колір,,
AD. Доступність (людські жести),AD16,AssistiveTouch,Тап `+` через AssistiveTouch,Працює,,
AD. Доступність (людські жести),AD17,Reachability,"iPhone, свайп home indicator",Шит/таби не ламаються,,
AD. Доступність (людські жести),AD18,Guided Access,За бажанням,Не обов’язково блокує реліз,,
"AE. Дата, час, календар, пояс",AE01,Нова північ,"Залогувати їжу, змінити час пристрою на 00:05 наступного дня, відкрити апку","Home «сьогодні» порожній, вчорашнє не в кільцях",,
"AE. Дата, час, календар, пояс",AE02,Назад на вчора,Після AE01 повернути дату,Вчорашні записи знову на Home,,
"AE. Дата, час, календар, пояс",AE03,Timezone +3 → інший,"Settings → Date Time → timezone, не чіпати «сьогодні» лог",День не дублюється хаотично. Нотувати,,
"AE. Дата, час, календар, пояс",AE04,DST (якщо дата переходу),Поставити дату переходу на літній час,"Немає крашу, нагадування не в минулому слоті дублем",,
"AE. Дата, час, календар, пояс",AE05,24h vs 12h,Формат часу системи,Дати в навбарі/бейджах читабельні,,
"AE. Дата, час, календар, пояс",AE06,Регіон Україна vs US,Number/date format,Ккал і дати з комою/крапкою не ламають поля ваги,,
"AE. Дата, час, календар, пояс",AE07,Вага кома,"`72,5` у Log weight","Приймає (код міняє `,` на `.`)",,
"AE. Дата, час, календар, пояс",AE08,Календар понеділок-перший,Weekend Warrior: Сб/Нд,"weekday 1 і 7 = неділя/субота григоріанські, не «пн-вт»",,
"AE. Дата, час, календар, пояс",AE09,Early bird,Залогувати їжу до 09:00,Прогрес Early Bird,,
"AE. Дата, час, календар, пояс",AE10,After 9,Перший лог о 10:00,Цей день не early bird,,
"AE. Дата, час, календар, пояс",AE11,No late snacks,Уся їжа до 21:00,День рахується,,
"AE. Дата, час, календар, пояс",AE12,Late snack,Щось після 21:00,День не йде в No Late Snacks,,
"AE. Дата, час, календар, пояс",AE13,Change date майбутнє Add entry,Дата +7 днів,На Home сьогодні немає; кільця сьогоднішні чисті,,
"AE. Дата, час, календар, пояс",AE14,Change date ваги вчора,,Save без помилки,,
"AE. Дата, час, календар, пояс",AE15,Workout дата завтра,,Save ок,,
"AE. Дата, час, календар, пояс",AE16,Пікер місяця скрол,Далеко в 2018 і 2030,Не краш,,
AF. Нотифікації — поява і тап,AF01,Banner у фоні,"Дозвіл Allow, час breakfast 08:00 (підкрутити годинник)",Баннер з локалізованим title/body,,
AF. Нотифікації — поява і тап,AF02,Тап баннера,Тап,"Відкривається Bity (останній таб / Home), не краш",,
AF. Нотифікації — поява і тап,AF03,Нотифікація на lock,Тап з lock screen,Unlock → апка,,
AF. Нотифікації — поява і тап,AF04,Foreground,Сидіти в апці на 08:00,Баннера може не бути — це ок; нотувати,,
AF. Нотифікації — поява і тап,AF05,Deliver Quietly / Focus,Focus on,Може не показатись — SKIP якщо Focus,,
AF. Нотифікації — поява і тап,AF06,Lunch / Dinner / Water / Weight / Streak,Підкрутити час на кожен слот,"Різний текст, не один і той самий",,
AF. Нотифікації — поява і тап,AF07,Після Deny,Немає нотифікацій,Повторно не спамить промпт,,
AF. Нотифікації — поява і тап,AF08,Settings → Bity → Notifications off потім on,,Після on можуть знову плануватись на foreground,,
AF. Нотифікації — поява і тап,AF09,Іконка badge,Подивитись icon,[очікувано] бейджа числа може не бути,,
AF. Нотифікації — поява і тап,AF10,Релогін після reboot телефону,"Перезавантажити iPhone, дочекатись слота",Нотифікація все ще приходить,,
AG. Apple Health — дублі та одиниці,AG01,Allow на онбордингу,Continue Health → Allow all,Далі флоу,,
AG. Apple Health — дублі та одиниці,AG02,Write з Bity в Health,Лог води 150 в Bity,У Health Dietary Water з’явився sample,,
AG. Apple Health — дублі та одиниці,AG03,Їжа в Health,Лог продукту,Nutrition calories в Health,,
AG. Apple Health — дублі та одиниці,AG04,Вага в Health,Log weight 70 kg,Body Mass,,
AG. Apple Health — дублі та одиниці,AG05,Workout в Health,Log exercise,Workout з ккал,,
AG. Apple Health — дублі та одиниці,AG06,Немає дубля води Bity→Health→Bity,"AG02, згорнути, повернутись",На Home не +150 вдруге,,
AG. Apple Health — дублі та одиниці,AG07,Імпорт води з Health,"Випити в Health / Water app, відкрити Bity","Home вода зросла, XP за цей імпорт немає",,
AG. Apple Health — дублі та одиниці,AG08,Імпорт ваги,Додати вагу в Health,Log weight екран/прогрес бачить; профіль weight може оновитись,,
AG. Apple Health — дублі та одиниці,AG09,kg vs lb в Health,"Health у lb, Bity слайдер kg",Числа консистентні після конверсії,,
AG. Apple Health — дублі та одиниці,AG10,Імпорт workout,Тренування з Watch/Health,"Burn на Home зріс, без крашу",,
AG. Apple Health — дублі та одиниці,AG11,Імпорт їжі з Health,Якщо є nutrition samples,"Рядок на Home з source health, без XP",,
AG. Apple Health — дублі та одиниці,AG12,Видалити в Health,"Видалити water sample в Health, foreground Bity",Локальний запис з цим sample id зникає,,
AG. Apple Health — дублі та одиниці,AG13,Видалити в Bity `−`,Після AG02 `−`,Health sample теж прибирається (deleteSamples),,
AG. Apple Health — дублі та одиниці,AG14,Maybe later потім Allow,Онбординг skip Health; після main foreground може спитати ще раз (flag requested),Нотувати скільки промптів,,
AG. Apple Health — дублі та одиниці,AG15,Health unavailable,Симулятор,"Немає крашу, sync skip",,
AG. Apple Health — дублі та одиниці,AG16,Відкликати Health в Settings,"Turn off Bity in Health, залогувати воду","Апка жива, write може fail тихо",,
AG. Apple Health — дублі та одиниці,AG17,14+ днів давнина,Вага в Health 20 днів тому,Не імпортується (вікно 14 днів),,
"AH. Макроси: клітковина, цукор, натрій",AH01,Порожньо,"Новий день, картка 2",Fiber/sugar/sodium 0 / ціль,,
"AH. Макроси: клітковина, цукор, натрій",AH02,Клітковина,Залогувати вівсянку / ягоди / бобові (пошук або чат `вівсянка 80г`),"Fiber > 0, ближче до цілі",,
"AH. Макроси: клітковина, цукор, натрій",AH03,Цукор,`кола` або цукерка баркодом,Sugar зріс,,
"AH. Макроси: клітковина, цукор, натрій",AH04,Натрій,Чіпси / суп / сільований продукт,Sodium зріс (на Home в грамах від мг),,
"AH. Макроси: клітковина, цукор, натрій",AH05,Product details мікронутрієнти,Відкрити details після баркода,Є рядки nutrition; після Add картка Home збігається порядком,,
"AH. Макроси: клітковина, цукор, натрій",AH06,Photo details,AI photo → Details,Fiber/sugar/sodium якщо модель дала,,
"AH. Макроси: клітковина, цукор, натрій",AH07,Servings ×2,Add entry increment,Мікронутрити ×2,,
"AH. Макроси: клітковина, цукор, натрій",AH08,Scale порції Edit meal,Зменшити г,Fiber/sugar/sodium пропорційно,,
"AH. Макроси: клітковина, цукор, натрій",AH09,Over sugar target,Багато солодкого,"Значення > цілі, без крашу",,
"AH. Макроси: клітковина, цукор, натрій",AH10,Чат «скільки цукру»,Після AH03 `скільки цукру я вже з'їв?`,Відповідь близько до картки 2,,
"AI. Жести навігації, шити, системні штуки",AI01,Swipe back,Search → ребром екрана назад,Home,,
"AI. Жести навігації, шити, системні штуки",AI02,Swipe back камера,Баркод → swipe,"Home, сесія стоп",,
"AI. Жести навігації, шити, системні штуки",AI03,Swipe шита Quick Log,Вниз,Дізміс,,
"AI. Жести навігації, шити, системні штуки",AI04,Swipe Edit meal,Вниз посеред списку,Дізміс,,
"AI. Жести навігації, шити, системні штуки",AI05,Swipe glass volume,,Дізміс без save,,
"AI. Жести навігації, шити, системні штуки",AI06,Swipe change date,,Без зміни дати,,
"AI. Жести навігації, шити, системні штуки",AI07,Grabber тап,,Нічого критичного,,
"AI. Жести навігації, шити, системні штуки",AI08,Double tap tab Home,На Home ще раз Home,Не дублює VC,,
"AI. Жести навігації, шити, системні штуки",AI09,Hardware back iPad,Якщо є,Pop,,
"AI. Жести навігації, шити, системні штуки",AI10,Shake to undo,В полі search набрати і shake,"iOS undo, апка жива",,
"AI. Жести навігації, шити, системні штуки",AI11,Predictive bar,Над клавіатурою в чаті,Не ховає Send назавжди,,
"AI. Жести навігації, шити, системні штуки",AI12,Autocorrect фрази,`явлуко` → яблуко в search,Пошук по виправленому після apply,,
"AI. Жести навігації, шити, системні штуки",AI13,Emoji keyboard,В чат 🥗,Send ок,,
"AI. Жести навігації, шити, системні штуки",AI14,Memoji stickers,,"Або як зображення fail, або текст — не краш",,
"AI. Жести навігації, шити, системні штуки",AI15,Spotlight,Шукати Bity,Відкриває апку,,
"AI. Жести навігації, шити, системні штуки",AI16,App Library / Search,,Відкриває,,
"AI. Жести навігації, шити, системні штуки",AI17,Restart iPhone,Відкрити Bity,Returning user на табах,,
"AI. Жести навігації, шити, системні штуки",AI18,Storage nearly full,Якщо можеш,"Алерт iOS, апка не тихо падає на фото",,
"AI. Жести навігації, шити, системні штуки",AI19,Date/time automatic off,Вручну дата,Щоденник по системній «сьогодні»,,
"AI. Жести навігації, шити, системні штуки",AI20,Language swap mid-session,"UK→EN без kill, потім kill",Після kill усі стрінги нові,,
AJ. Матриця прийомів × метод (короткий обов’язковий),AJ01,,Метод: Quick Log (очікувано завжди Snacks). Breakfast=N/A — має впасти в Snacks; Lunch=N/A; Snacks=Так; Dinner=N/A,,,
AJ. Матриця прийомів × метод (короткий обов’язковий),AJ02,,Метод: Add entry meal chips після баркода. Breakfast=Так; Lunch=Так; Snacks=Так; Dinner=Так,,,
AJ. Матриця прийомів × метод (короткий обов’язковий),AJ03,,Метод: Add entry після фото. Breakfast=Так; Lunch=Так; Snacks=Так; Dinner=Так,,,
AJ. Матриця прийомів × метод (короткий обов’язковий),AJ04,,Метод: Add entry після голосу. Breakfast=Так; Lunch=Так; Snacks=Так; Dinner=Так,,,
AJ. Матриця прийомів × метод (короткий обов’язковий),AJ05,,Метод: Edit meal `+` search. Breakfast=Так; Lunch=Так; Snacks=Так; Dinner=Так,,,
AJ. Матриця прийомів × метод (короткий обов’язковий),AJ06,,Метод: Чат з явною назвою прийому. Breakfast=«на сніданок …»; Lunch=«на обід …»; Snacks=«снек …»; Dinner=«на вечерю …»,,,
AK. Дозволи повторно з iOS Settings,AK01,Camera Deny → Settings Allow,Deny на баркоді → Settings → Bity → Camera on → повернутись,Камера запрацювала без реінсталу,,
AK. Дозволи повторно з iOS Settings,AK02,Mic Deny → Allow,Voice → Settings Mic on,Запис ок,,
AK. Дозволи повторно з iOS Settings,AK03,Photos None → Allow,Gallery → Settings,Picker бачить фото,,
AK. Дозволи повторно з iOS Settings,AK04,Notifications Deny → Allow,"Settings Notifications on, foreground Bity",Слоти можуть з’явитись,,
AK. Дозволи повторно з iOS Settings,AK05,Camera Restricted (Screen Time),Якщо є,Зрозуміла помилка,,
AK. Дозволи повторно з iOS Settings,AK06,Dual SIM / немає камери на симуляторі,Симулятор фото/баркод,"cameraUnavailable alert, не чорний екран",,
AK. Дозволи повторно з iOS Settings,AK07,Перший промпт не англійський дефолт,UK локаль,Usage strings з InfoPlist.uk,,
AL. Регрес «як жива людина цілий день» (чеклист одним прогоном),AL01,Ранок,"Онбординг (якщо треба), вода `+`, чат вівсянка, early hour","Breakfast, вода, XP, early bird якщо <9",,
AL. Регрес «як жива людина цілий день» (чеклист одним прогоном),AL02,Перекус,Quick Log баркод батончика,Snacks +1,,
AL. Регрес «як жива людина цілий день» (чеклист одним прогоном),AL03,Обід фото,Scan food тарілки → Add → Lunch chip,"Lunch, макроси, fiber якщо є",,
AL. Регрес «як жива людина цілий день» (чеклист одним прогоном),AL04,Swap,Чат замінити гарнір → Apply,Ккал зміна,,
AL. Регрес «як жива людина цілий день» (чеклист одним прогоном),AL05,Edit meal,"Олівець Lunch → порція, `додай огірок`, delete один рядок",Home збіг,,
AL. Регрес «як жива людина цілий день» (чеклист одним прогоном),AL06,Вода мікс,"Склянка 250, `+`×2, чат 500 мл Confirm, `−`",Останній знявся 500,,
AL. Регрес «як жива людина цілий день» (чеклист одним прогоном),AL07,Progress,"Вага, walk 30 хв 200 ккал, фото front+side","Burn, XP, photo steps",,
AL. Регрес «як жива людина цілий день» (чеклист одним прогоном),AL08,AI поради,"«скільки ще ккал», чіпа Meals, Log вечерю","Remaining, Dinner",,
AL. Регрес «як жива людина цілий день» (чеклист одним прогоном),AL09,Голос вечері,Якщо ще треба,Dinner рядки,,
AL. Регрес «як жива людина цілий день» (чеклист одним прогоном),AL10,Rewards,"Відкрити, тап бейдж",Прогрес не 0 після дня,,
AL. Регрес «як жива людина цілий день» (чеклист одним прогоном),AL11,Віджет,"Додати, подивитись числа vs Home",Збіг або відомий lag snapshot,,
AL. Регрес «як жива людина цілий день» (чеклист одним прогоном),AL12,Kill restore,"Вбити, відкрити",Усе на місці,,
AL. Регрес «як жива людина цілий день» (чеклист одним прогоном),AL13,Dark+UK,"Змінити тему і мову, kill","Немає ключів, контраст",,
AL. Регрес «як жива людина цілий день» (чеклист одним прогоном),AL14,Offline вечір,"Airplane, чат і search",Fail м’яко; логи локальні (вода `+`) ок,,
AL. Регрес «як жива людина цілий день» (чеклист одним прогоном),AL15,Нотифікація,Підкрутити streak 21:00,"Баннер, тап відкриває апку",,
